,Pos,Player,Tm,Age,Yrs,G,GS,Cmp,PsAtt,PsYds,PsTD,PsInt,Att,RshYds,RshTD,Rec,RecYds,RecTD,Solo,Sk,Int,All-pro teams,Year
75,EDGE,Jason Taylor,MIA,27,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,48.0,8.5,1,AP: 2nd Tm,2001
76,DT,Ted Washington,CHI,33,10.0,16,15,0,0,0,0,0,0,0,0,0,0,0,32.0,1.5,0,"AP: 1st Tm, SN: 1st Tm",2001
77,DT,Trevor Pryce,DEN,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,34.0,7.0,0,AP: 2nd Tm,2001
78,LB,Kendrell Bell,PIT,23,,16,16,0,0,0,0,0,0,0,0,0,0,0,69.0,9.0,0,AP: 2nd Tm,2001
79,LB,Zach Thomas,MIA,28,5.0,15,15,0,0,0,0,0,0,0,0,0,0,0,95.0,3.0,2,AP: 2nd Tm,2001
80,LB,Jeremiah Trotter,PHI,24,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,93.0,3.5,2,AP: 2nd Tm,2001
81,CB,Ronde Barber,TAM,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,59.0,1.0,10,"AP: 1st Tm, FW: 1st Tm",2001
82,CB,Charles Woodson,OAK,25,3.0,16,15,0,0,0,0,0,0,0,0,0,0,0,40.0,2.0,1,"FW: 1st Tm All-Conf., SN: 1st Tm",2001
83,S,Mike Brown,CHI,23,1.0,16,16,0,0,0,0,0,0,0,0,0,0,0,56.0,3.0,5,AP: 1st Tm,2001
84,S,Sammy Knight,NOR,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,80.0,1.0,6,AP: 2nd Tm,2001
85,C,Kevin Mawae,NYJ,30,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
86,LB,Jamir Miller,CLE,28,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,83.0,13.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
87,EDGE,John Abraham,NYJ,23,1.0,16,15,0,0,0,0,0,0,0,0,0,0,0,57.0,13.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
88,T,Orlando Pace,STL,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
89,DT,Warren Sapp,TAM,29,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,28.0,6.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
90,P,Todd Sauerbrun,CAR,28,6.0,16,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
91,WR,Steve Smith Sr.,CAR,22,,15,1,0,0,0,0,0,4,43,0,10,154,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
92,EDGE,Michael Strahan,NYG,30,8.0,16,16,0,0,0,0,0,0,0,0,0,0,0,61.0,22.5,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
93,LB,Brian Urlacher,CHI,23,1.0,16,16,0,0,0,0,0,0,0,0,1,27,1,91.0,6.0,3,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
94,QB,Kurt Warner,STL,30,3.0,16,16,375,546,4830,36,22,28,60,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
95,CB,Aeneas Williams,STL,33,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,56.0,0.0,4,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
96,WR,Terrell Owens,SFO,28,5.0,16,16,0,0,0,0,0,4,21,0,93,1412,16,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
97,TE,Tony Gonzalez,KAN,25,4.0,16,16,1,1,40,0,0,1,9,0,73,917,6,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
98,RB,Marshall Faulk,STL,28,7.0,14,14,0,1,0,0,0,260,1382,12,83,765,9,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
99,G,Alan Faneca,PIT,25,3.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
100,K,David Akers,PHI,27,3.0,16,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
101,S,Brian Dawkins,PHI,28,5.0,15,15,0,0,0,0,0,0,0,0,0,0,0,58.0,1.5,2,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
102,G,Larry Allen,DAL,30,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
103,WR,David Boston,ARI,23,2.0,16,15,0,0,0,0,0,5,35,0,98,1598,8,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2001
104,RB,Curtis Martin,NYJ,28,6.0,16,16,1,1,18,1,0,333,1513,10,53,320,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm",2001
105,T,Jonathan Ogden,BAL,27,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm",2001
106,LB,Ray Lewis,BAL,26,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,114.0,3.5,3,"FW: 1st Tm All-Conf., AP: 1st Tm, SN: 1st Tm",2001
107,EDGE,Jason Gildon,PIT,29,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,43.0,12.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2001
108,WR,Jermaine Lewis,BAL,27,5.0,15,2,0,0,0,0,0,9,33,0,4,32,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2001
